run,n_robots,tasks,runtime,throughput
0,12,24,285.0788679122925,0.08418722922452411
1,12,24,272.2876763343811,0.08814207210217974
2,15,30,257.464804649353,0.11652078054263634
3,17,34,284.4545361995697,0.11952700932196078
4,17,34,276.56518268585205,0.12293666060857812
5,10,20,238.76504802703857,0.0837643539758597
6,17,34,301.4531719684601,0.11278700362641164
7,11,22,285.3703489303589,0.0770928026771584
8,10,20,295.6217255592346,0.06765402631408611
9,12,24,243.83369541168213,0.09842774174208802
